date,Short_Portfolio
1967-01-31,0.09409475989049418
1967-02-28,0.009088228077665262
1967-03-31,0.04578348492135825
1967-04-30,0.03165678712639187
1967-05-31,-0.026945603773979726
1967-06-30,0.02916656971668741
1967-07-31,0.05684661728342845
1967-08-31,0.008034143278656139
1967-09-30,0.019059994198554822
1967-10-31,-0.05667095851191201
1967-11-30,0.0001391350263271873
1967-12-31,0.03332889376413315
1968-01-31,-0.012474017012913147
1968-02-29,-0.02628798131930375
1968-03-31,-0.00359194291300081
1968-04-30,0.0955941701536755
1968-05-31,0.031738411451462126
1968-06-30,0.027526802522949406
1968-07-31,-0.020317437439441612
1968-08-31,0.024523283702356326
1968-09-30,0.05496246700862651
1968-10-31,0.017081042433741703
1968-11-30,0.0688355586689945
1968-12-31,-0.025267986609123137
1969-01-31,-0.0024964206678499304
1969-02-28,-0.05736967007114784
1969-03-31,0.019632741681880995
1969-04-30,0.014296415237294803
1969-05-31,3.160703928150368e-05
1969-06-30,-0.07480466010851547
1969-07-31,-0.06177721064039877
1969-08-31,0.037528755438943885
1969-09-30,-0.01866918292163395
1969-10-31,0.06845498001111522
1969-11-30,-0.040736255740683514
1969-12-31,-0.030040462770944645
1970-01-31,-0.05969482476099228
1970-02-28,0.0774676400199188
1970-03-31,0.011295683853955924
1970-04-30,-0.09844224428738216
1970-05-31,-0.07132303649710578
1970-06-30,-0.0392368456139188
1970-07-31,0.08122693993861031
1970-08-31,0.05611788547494646
1970-09-30,0.04033064906545897
1970-10-31,-0.017987797480473643
1970-11-30,0.05739855563041589
1970-12-31,0.07944620088934955
1971-01-31,0.0613361574720263
1971-02-28,0.015203276677369053
1971-03-31,0.03408545404862394
1971-04-30,0.03755366067187558
1971-05-31,-0.03532358423209551
1971-06-30,-0.0012867163137696832
1971-07-31,-0.035809955782179624
1971-08-31,0.039615017658405347
1971-09-30,-0.007663778555962765
1971-10-31,-0.04986944426969433
1971-11-30,-0.010273510505984804
1971-12-31,0.10435047516820954
1972-01-31,0.019145960117699336
1972-02-29,0.023468357070954828
1972-03-31,0.0008427574540524961
1972-04-30,0.00720380585256508
1972-05-31,0.0007442913815246827
1972-06-30,-0.026933876813046
1972-07-31,-0.015268507833297971
1972-08-31,0.04758718473430002
1972-09-30,-0.01723088777314427
1972-10-31,0.006960084875339086
1972-11-30,0.07787426034924445
1972-12-31,-0.010882225222797198
1973-01-31,-0.05226125031946656
1973-02-28,-0.03554413296829162
1973-03-31,-0.013073463936741334
1973-04-30,-0.036198465386010764
1973-05-31,-0.03106771960485616
1973-06-30,-0.02136858572112805
1973-07-31,0.06915485354479105
1973-08-31,-0.015526913623885433
1973-09-30,0.09986606695117692
1973-10-31,-0.004834287680415598
1973-11-30,-0.13208279780795815
