date,Preference Return
1960-01-29,-0.018005208768261692
1960-02-29,0.009621148924209975
1960-03-31,0.01516081287654874
1960-04-29,0.0021777589494846577
1960-05-31,0.012070583584283059
1960-06-30,0.004346487537141227
1960-07-29,-0.0022054484706487236
1960-08-31,-0.0007779404667707865
1960-09-30,0.0037331749402384623
1960-10-31,0.012521109094196221
1960-11-30,0.0012516121948483866
1960-12-30,0.012346766921205718
1961-01-31,-0.01127780359506328
1961-02-28,-0.020511191742750186
1961-03-30,-0.004048298530263554
1961-04-28,0.0068008599356224764
1961-05-31,-0.0166518131576617
1961-06-30,0.011828699325390254
1961-07-31,0.017792153318778915
1961-08-31,-0.00019228139628430993
1961-09-29,0.009934081910875569
1961-10-31,0.008855847395611793
1961-11-30,0.006609559068519677
1961-12-29,0.008722456843085324
1962-01-31,-0.022065865884119407
1962-02-28,0.007998991839198971
1962-03-30,0.005929869026745149
1962-04-30,0.007974089151896895
1962-05-31,0.011759440090641046
1962-06-29,0.0026927573082897865
1962-07-31,0.010418087813014815
1962-08-31,0.0015492133008413803
1962-09-28,0.011542821340926268
1962-10-31,0.01869662823299974
1962-11-30,-0.02195464807589484
1962-12-31,0.021103820249548273
1963-01-31,-0.021417426004329894
1963-02-28,-0.009426050553893927
1963-03-29,0.013514705578120397
1963-04-30,0.004969388160311304
1963-05-31,-0.010729013056445226
1963-06-28,-0.0020948142116173976
1963-07-31,0.010777151567524958
1963-08-30,-0.0030045736428910633
1963-09-30,0.010682308575714543
1963-10-31,0.012468194750117428
1963-11-29,0.001467904305301079
1963-12-31,0.010240902999188839
1964-01-31,0.009678939713112827
1964-02-28,-0.009840323702850946
1964-03-31,-0.013516068622981239
1964-04-30,0.007175573580154837
1964-05-28,0.0005640998770889798
1964-06-30,-0.000982561888199767
1964-07-31,-0.0035614368443214646
1964-08-31,-0.0014816915157660863
1964-09-30,-0.002088121214336998
1964-10-30,-0.0056618716292137685
1964-11-30,0.00356729734534832
1964-12-31,0.014668604353462185
1965-01-29,-0.019567146268331545
1965-02-26,-0.019559659596255448
1965-03-31,-0.012532693733484692
1965-04-30,0.005872192196746215
1965-05-28,0.004901958003241815
1965-06-30,0.022127088013150727
1965-07-30,-0.008222860513580878
1965-08-31,-0.012704092899842583
1965-09-30,0.005147428818478853
1965-10-29,-0.008066045405542104
1965-11-30,-0.020414859087589235
1965-12-31,-0.015311032952442188
1966-01-31,-0.024955640113059473
1966-02-28,-0.013217470860893872
1966-03-31,0.0031747696992220423
1966-04-29,0.00041125749222614347
1966-05-31,0.02027631456251086
1966-06-30,-0.0016288762954172718
1966-07-29,0.002215278467899963
1966-08-31,0.017788777576372122
1966-09-30,0.010832169690699528
1966-10-31,0.02700713396625754
1966-11-30,-0.010952323640777327
1966-12-30,-0.009208508341864615
1967-01-31,-0.040570340244511144
1967-02-28,0.0010325756253351075
1967-03-31,-0.006551478461938695
1967-04-28,0.00978197900975828
1967-05-31,-0.016120409956183822
1967-06-30,-0.014294489777153634
1967-07-31,-0.01640930639257649
1967-08-31,-0.009656738579806402
1967-09-29,0.01063220032451933
1967-10-31,0.027033215618412924
1967-11-30,0.009546502006820227
1967-12-29,-0.015624938302509831
1968-01-31,-0.02400044121020748
1968-02-29,0.0059767187103935
1968-03-29,0.008847344141123138
1968-04-30,-0.01459804081575454
1968-05-31,-0.022847039957026413
1968-06-28,-0.0072903544058118535
1968-07-30,0.013311119173334475
1968-08-30,-0.007557778863832146
1968-09-30,-0.012647938112988429
1968-10-31,-0.001111282406111259
1968-11-29,-0.010731625897393807
1968-12-31,-0.014077170320989194
1969-01-31,-0.0007137899119260211
1969-02-28,0.023125127640851263
1969-03-28,0.016722592259296905
1969-04-30,0.013621656127483322
1969-05-29,0.01214802669005133
1969-06-30,0.03176314731224345
1969-07-31,0.013944466227415665
1969-08-29,0.004607776281286016
1969-09-30,-0.0023477416894804558
1969-10-31,-0.01348171079111437
1969-11-28,0.0158665382367735
1969-12-31,0.02632372451661366
1970-01-30,-0.013141311530752549
1970-02-27,-0.005010117799688976
1970-03-31,0.002468641331899665
1970-04-30,0.023061758858317488
1970-05-29,0.0323366138009728
1970-06-30,0.015615241446972052
1970-07-31,-0.0016147556041529176
1970-08-31,-0.010052437904415651
1970-09-30,-0.02622384915906375
1970-10-30,0.025995212010130095
1970-11-30,0.009891741767414843
1970-12-31,-0.023326715315820853
1971-01-29,-0.0370462252144123
1971-02-26,-0.005215134442378266
