date,Long_Portfolio
1967-01-31,0.08033333709322599
1967-02-28,0.010351543702652965
1967-03-31,0.04346080142428859
1967-04-30,0.05261271469155124
1967-05-31,-0.050181900137350945
1967-06-30,0.020081874532970015
1967-07-31,0.04932904716907285
1967-08-31,-0.009192325493719893
1967-09-30,0.042470297738951085
1967-10-31,-0.010746683044898
1967-11-30,0.012013067931139905
1967-12-31,0.02858576728219034
1968-01-31,-0.04458347689516926
1968-02-29,-0.024317947279270134
1968-03-31,0.018297740489939034
1968-04-30,0.08471479585181776
1968-05-31,0.01525435908162916
1968-06-30,0.007392846381342189
1968-07-31,-0.009940549513572015
1968-08-31,0.01600833505925347
1968-09-30,0.03762982802577794
1968-10-31,0.01036949169717451
1968-11-30,0.05250938399378697
1968-12-31,-0.04307066869265938
1969-01-31,-0.006072277133287206
1969-02-28,-0.0346264706134385
1969-03-31,0.044336448521980015
1969-04-30,0.029066755512026626
1969-05-31,0.008643490260132404
1969-06-30,-0.04217491672838673
1969-07-31,-0.053497380738773845
1969-08-31,0.05170938421457881
1969-09-30,-0.021414686202608554
1969-10-31,0.04411655037275852
1969-11-30,-0.02248741708303962
1969-12-31,-0.007778861572735967
1970-01-31,-0.0758322382151372
1970-02-28,0.059135274526652834
1970-03-31,0.003644865506104681
1970-04-30,-0.08155767183809164
1970-05-31,-0.042886641146444006
1970-06-30,-0.04455146732937509
1970-07-31,0.08009577967264064
1970-08-31,0.05144429833057003
1970-09-30,0.03811105324670864
1970-10-31,-0.0015581618649044178
1970-11-30,0.05662028851937076
1970-12-31,0.0540890694362873
1971-01-31,0.04122383516470515
1971-02-28,0.016164420851740774
1971-03-31,0.04461157478481865
1971-04-30,0.04196058478689888
1971-05-31,-0.035226136704167306
1971-06-30,0.007497030568906373
1971-07-31,-0.038578943227446295
1971-08-31,0.04910473431920277
1971-09-30,-0.001696649173605673
1971-10-31,-0.032542709866565586
1971-11-30,0.010395335764855792
1971-12-31,0.08524852945048973
1972-01-31,0.023539489288182586
1972-02-29,0.03650441071761423
1972-03-31,0.01365154227022991
1972-04-30,0.00788458839385388
1972-05-31,0.033491216157416154
1972-06-30,-0.014346605650823829
1972-07-31,0.013652733642161892
1972-08-31,0.0419955618163822
1972-09-30,0.0036938191485641333
1972-10-31,0.016057369069242326
1972-11-30,0.04556643948982034
1972-12-31,0.024544976980353395
1973-01-31,0.0017206873911914536
1973-02-28,-0.02921112809952555
1973-03-31,0.006468761490754761
1973-04-30,-0.036973756227838814
1973-05-31,-0.0040471492050966175
1973-06-30,0.00420122099576047
1973-07-31,0.035875703062437446
1973-08-31,-0.03279581261492382
1973-09-30,0.033063765253088385
1973-10-31,0.00963660156195479
1973-11-30,-0.08854502012669757
1973-12-31,0.023408909962852522
1974-01-31,-0.01447464074994153
1974-02-28,-0.0014984954243903283
1974-03-31,-0.015471551577873464
1974-04-30,-0.026558095800061278
