Date,Close,High,Low,Open,Volume
6/1/2005,28.40198135,28.94137604,28.06303806,28.06485933,7683600
7/1/2005,29.92426682,30.14711619,28.3442084,28.5688862,4635200
8/1/2005,29.66305542,30.14711796,29.04381938,29.99367958,7580800
9/1/2005,29.73246765,30.16172995,28.89768488,29.61008209,6633200
10/1/2005,29.01241875,29.94280911,27.97763289,29.81643679,13579600
11/1/2005,30.33291435,30.72118929,28.94099382,29.09300671,8776400
12/1/2005,30.38968468,31.15157948,30.37869627,30.53437287,6118400
1/1/2006,31.72206306,32.00324444,30.40620601,30.70576639,9738400
2/1/2006,31.82865143,32.27707216,31.17991248,31.79005665,8362400
3/1/2006,32.41858292,32.74019585,31.38574684,31.94994917,9467200
4/1/2006,32.77615356,33.05985161,32.01164795,32.55140678,4980900
5/1/2006,31.80348969,33.3140812,30.97082107,32.8645875,9739000
6/1/2006,31.61927414,32.3635159,30.21921193,31.84033585,8032600
7/1/2006,31.29270172,31.92831208,30.12495194,31.92831208,12653300
8/1/2006,32.15007019,32.17963415,30.834505,31.07840062,7160000
9/1/2006,32.82999802,32.99998924,31.75093973,32.18699792,5455900
10/1/2006,34.15803528,34.35072419,32.66839342,32.97966077,5498400
11/1/2006,35.01032257,35.13631094,33.63925622,34.24697114,6711500
12/1/2006,35.08443832,35.65509809,34.61012444,35.08443832,4744900
1/1/2007,36.05623245,36.18266874,34.873695,35.3868734,6604700
2/1/2007,35.88516617,37.26107296,35.43892689,36.29421931,7430300
3/1/2007,36.10829163,36.62890609,34.73238461,35.10425168,7782800
4/1/2007,37.77571106,38.30482657,36.13620719,36.20327801,6587000
5/1/2007,38.99790573,39.06497373,37.50744503,37.82044041,13877800
6/1/2007,38.15579605,39.30345152,37.37330472,39.19166583,7051800
7/1/2007,36.54753113,39.42558554,36.41297259,38.46125031,24218800
8/1/2007,36.57742691,40.02361451,33.81150607,36.6297549,27969700
9/1/2007,37.36983871,38.0127261,35.56077529,36.58491286,13604100
10/1/2007,37.90818405,38.86057598,36.47584722,37.5707219,17405500
11/1/2007,36.14588165,37.71320317,34.27109529,37.54072316,21838500
12/1/2007,35.38096619,37.30074833,34.93851652,36.10838416,11231700
1/1/2008,33.99945068,35.64106332,29.59420467,35.46786315,16932200
2/1/2008,32.97532272,34.79766159,32.74941335,34.05968944,9366800
3/1/2008,32.23735809,33.46480036,30.77647159,32.79460115,6890000
4/1/2008,34.21583939,34.79794749,32.59047529,32.93066871,6069000
5/1/2008,35.12301636,36.03019774,34.13267915,34.16291632,5308400
6/1/2008,31.55477905,35.24397955,31.43382171,34.97938626,7786900
7/1/2008,31.50675392,32.42472321,29.12459185,31.263986,13834200
8/1/2008,32.43991089,33.16062982,30.9681292,31.77230019,15601700
9/1/2008,28.77562714,33.15304291,27.56937216,32.77371749,12220400
10/1/2008,22.86236572,28.95899658,19.05197144,28.9132708,14758300
11/1/2008,20.65995598,23.76923731,16.66666339,22.74043068,10110700
12/1/2008,21.18579865,21.51349289,18.70904154,20.22558025,16774900
1/1/2009,19.51985741,22.85232949,18.99891905,20.93711582,20829900
2/1/2009,17.32886505,20.95245129,17.22161202,19.22875788,13018900
3/1/2009,18.9759407,20.10974704,15.46726871,16.93049209,20628100
4/1/2009,22.67420578,23.16008245,18.75634982,19.01085616,41179900
5/1/2009,24.13954735,24.71797102,22.50453726,22.68192016,39380500
6/1/2009,23.76164055,25.28096597,22.77446523,24.47888603,36355700
7/1/2009,26.04154778,26.28152743,22.24833801,24.0365652,33551600
8/1/2009,27.51238632,28.13168535,26.12670271,26.32023385,16777800
9/1/2009,28.8748436,29.71089948,26.50602449,27.41174875,19517100
10/1/2009,27.89497375,30.19367107,27.47561948,28.88123854,20665200
11/1/2009,29.44038963,30.24804018,27.68530571,27.99593849,16381000
12/1/2009,30.69844437,31.23429062,29.51026871,29.81313678,14713100
1/1/2010,29.77770233,32.02154582,29.71537186,31.09440234,18714600
2/1/2010,31.0242672,31.27358302,28.92845512,29.91013581,16576000
3/1/2010,33.16682434,33.39276772,31.14892252,31.14892252,23603800
4/1/2010,34.14766693,35.39011075,33.32718584,33.52253862,19174500
5/1/2010,31.63152313,34.72591058,14.06540076,34.2414365,39446300
6/1/2010,29.53735161,32.79583884,29.46702446,31.25645736,43541100
7/1/2010,31.81617928,32.6002152,28.97796707,29.63655737,26107100
8/1/2010,30.30299568,32.61589972,29.88745453,32.34932734,23275600
9/1/2010,33.22745895,33.71356062,30.72638126,30.74990439,21274600
10/1/2010,34.58004761,34.95035211,33.0200458,33.65822959,17113900
11/1/2010,34.86368561,35.92732227,34.28853364,34.68247359,13974700
12/1/2010,37.27459717,37.36914191,35.33641043,35.33641043,30358000
1/1/2011,38.16944122,38.6830005,37.30823867,37.70328565,16090400
2/1/2011,39.70222473,40.33429935,38.38276916,38.42227326,30048300
3/1/2011,39.86812592,39.9550367,37.57685608,39.89973039,24301500
4/1/2011,41.28702545,41.31876102,39.26393011,40.30324413,14326300
5/1/2011,41.03314209,41.5170988,39.89862151,41.47742784,12638900
6/1/2011,40.16042709,40.98553341,38.12939988,40.98553341,23066000
7/1/2011,38.83684921,41.42384978,38.42292876,40.31741002,20385400
