date,short_returns
1967-01-31,0.1186573184013273
1967-02-28,0.008441930177771973
1967-03-31,0.04198406420868266
1967-04-30,0.02879957902676824
1967-05-31,-0.02104917257267817
1967-06-30,0.029426049025787465
1967-07-31,0.05859664694361575
1967-08-31,0.015854403488067572
1967-09-30,0.028092355788055252
1967-10-31,-0.043647134700466494
1967-11-30,-0.013304353307182567
1967-12-31,0.03881134794860345
1968-01-31,0.01269867918631428
1968-02-29,-0.01941365594907424
1968-03-31,-0.003814538149643381
1968-04-30,0.09214839570068313
1968-05-31,0.04748637432158913
1968-06-30,0.03457386116591149
1968-07-31,-0.013991007148827459
1968-08-31,0.017349493528196022
1968-09-30,0.04655025217350677
1968-10-31,0.01409407348017299
1968-11-30,0.06965853929862743
1968-12-31,-0.014875403227680656
1969-01-31,-0.005400203305550982
1969-02-28,-0.05885414989252929
1969-03-31,0.00800435847522511
1969-04-30,0.003917010225648286
1969-05-31,-0.02117107458099512
1969-06-30,-0.07617920555654656
1969-07-31,-0.06907093380193045
1969-08-31,0.030218548874811502
1969-09-30,-0.019301852357026198
1969-10-31,0.06344845882554334
1969-11-30,-0.041274868330559385
1969-12-31,-0.04382604505128745
1970-01-31,-0.034829743804629075
1970-02-28,0.059838847422964025
1970-03-31,0.021137282790719723
1970-04-30,-0.09510546960132535
1970-05-31,-0.0796978669036123
1970-06-30,-0.05639080440434541
1970-07-31,0.06735472385918757
1970-08-31,0.055274709854814565
1970-09-30,0.05442287337520522
1970-10-31,-0.021530767417863573
1970-11-30,0.04539337102891972
1970-12-31,0.08272210433380306
1971-01-31,0.07404479748209351
1971-02-28,0.02496475510647916
1971-03-31,0.03207867926095956
1971-04-30,0.024139116399518046
1971-05-31,-0.04425382248919974
1971-06-30,-0.011604670673905765
1971-07-31,-0.028094437228724997
1971-08-31,0.03219593748718306
1971-09-30,-0.015301149148691387
1971-10-31,-0.07930158875862976
1971-11-30,-0.014467280018410886
1971-12-31,0.06765534123788819
1972-01-31,0.05769088292615203
1972-02-29,0.015318419384527783
1972-03-31,-0.0030473709227260056
1972-04-30,-0.006537273166392343
1972-05-31,-0.004508070314271485
1972-06-30,-0.015326132390694542
1972-07-31,-0.019356110937278292
1972-08-31,0.022932723273784955
1972-09-30,-0.02302716525895723
1972-10-31,-0.0019441281963467768
1972-11-30,0.07024260227275701
1972-12-31,-0.008533423144773724
1973-01-31,-0.027450732446917685
1973-02-28,-0.04327154372424404
1973-03-31,-0.01985421776281687
1973-04-30,-0.029094551218392578
1973-05-31,-0.05668534687263416
1973-06-30,-0.024326933416875203
1973-07-31,0.04753696797475195
1973-08-31,-0.0181289182514831
1973-09-30,0.08594881021241116
1973-10-31,-0.006098904036328896
1973-11-30,-0.14138664593475625
1973-12-31,0.025207471152404112
1974-01-31,0.08384461347907801
1974-02-28,0.013541088130283282
1974-03-31,-0.03226815146233436
1974-04-30,-0.07064390627568093
1974-05-31,-0.083774876690147
1974-06-30,-0.02739743355952097
1974-07-31,-0.02851107067014457
1974-08-31,-0.09495669493345649
1974-09-30,-0.05590656211480382
1974-10-31,0.09371338797791033
1974-11-30,-0.04108642790759757
1974-12-31,-0.04387826543306762
1975-01-31,0.2596767706599373
1975-02-28,0.04453829806222765
1975-03-31,0.05729387844121087
1975-04-30,0.027992972413456434
1975-05-31,0.05784504389360573
1975-06-30,0.06972019608936629
1975-07-31,-0.049454312982696945
1975-08-31,-0.030327709582522518
1975-09-30,-0.028481755998661068
1975-10-31,0.03363653736157324
1975-11-30,0.03257750614576651
1975-12-31,0.0007223062607551284
1976-01-31,0.16692310247966613
1976-02-29,0.05191969832582535
1976-03-31,0.013137991201763994
1976-04-30,0.0015274726101579049
1976-05-31,-0.017526276997975192
1976-06-30,0.04551174865000746
1976-07-31,-0.007932095007820597
1976-08-31,-0.019022822061654926
1976-09-30,0.019847609075202433
1976-10-31,-0.02016858354622017
1976-11-30,0.03983190459252914
1976-12-31,0.07028364605513637
1977-01-31,-0.006639700760580775
1977-02-28,-0.02134353437072608
1977-03-31,0.004042549906694358
1977-04-30,0.009618637281769659
1977-05-31,-0.030122263413338103
1977-06-30,0.04248561469118759
1977-07-31,-0.028839461909763504
1977-08-31,-0.021479824135131723
1977-09-30,-0.0012929560592439176
1977-10-31,-0.03346582109642479
1977-11-30,0.060929496191949054
1977-12-31,0.0029606463394336803
1978-01-31,-0.04441649581591146
1978-02-28,-0.006718159885703282
1978-03-31,0.05419110270920221
1978-04-30,0.06853040257431019
1978-05-31,0.03675905632520361
1978-06-30,-0.007238341273283289
1978-07-31,0.0519488752639021
1978-08-31,0.050523315071408115
1978-09-30,-0.0009281509614802886
1978-10-31,-0.13394458052159486
1978-11-30,0.023646029800478856
1978-12-31,0.004960088187510783
1979-01-31,0.08213813847981502
1979-02-28,-0.018896834182126288
1979-03-31,0.05988641330826948
1979-04-30,0.010521562166318792
1979-05-31,-0.006308738658452837
1979-06-30,0.04145422072662977
1979-07-31,0.017353284116413698
1979-08-31,0.06736949322572695
1979-09-30,-0.008717013768564014
1979-10-31,-0.10007709465045576
1979-11-30,0.06116528505057018
1979-12-31,0.03328332813163138
1980-01-31,0.03752637573296598
1980-02-29,-0.04127781341136822
1980-03-31,-0.09773511487982782
1980-04-30,0.06011701622341394
1980-05-31,0.08375844291821756
1980-06-30,0.03235057987685049
1980-07-31,0.0701846384308032
1980-08-31,0.022571368180283102
1980-09-30,0.010568356708236734
1980-10-31,-0.00034749826429082253
1980-11-30,0.014477206074232741
1980-12-31,0.014308345690137989
1981-01-31,0.015714478442006626
1981-02-28,0.03244693188509027
1981-03-31,0.08103067433016195
1981-04-30,0.010251737132131566
1981-05-31,0.020818749208236068
1981-06-30,0.00910913712081214
1981-07-31,-0.03201954871003923
1981-08-31,-0.05381729125007304
1981-09-30,-0.04425132733022207
1981-10-31,0.052077147230868245
1981-11-30,0.04034503335341814
1981-12-31,-0.017770597081816098
1982-01-31,-0.008533429455284127
1982-02-28,-0.009110788514068111
1982-03-31,0.009358689732196068
1982-04-30,0.044640047183759045
1982-05-31,-0.04015253126784493
1982-06-30,-0.004576732480696148
1982-07-31,-0.014815026317223338
1982-08-31,0.11302881297076403
1982-09-30,0.027503971467367327
1982-10-31,0.13293307337025365
1982-11-30,0.05519035311583236
1982-12-31,0.0179649408537291
1983-01-31,0.024634750304093993
1983-02-28,0.04467418291041588
1983-03-31,0.0635008638389466
1983-04-30,0.06716683793380808
1983-05-31,0.0226742603332431
1983-06-30,0.027717311622196
1983-07-31,-0.013821155920082534
1983-08-31,-0.0036552500754062135
1983-09-30,0.03900982488733407
1983-10-31,-0.005665215595347319
1983-11-30,0.04823710616539796
1983-12-31,-0.011007608235324966
1984-01-31,-0.012099755730624754
1984-02-29,-0.045669774743689495
1984-03-31,0.016564125929485335
1984-04-30,-0.006798752663635547
1984-05-31,-0.048047736858082155
1984-06-30,0.02697512662741026
1984-07-31,-0.030122682229875603
1984-08-31,0.10450126269871382
1984-09-30,0.016375624300064305
1984-10-31,0.0007573578158761947
1984-11-30,0.005190171130277672
1984-12-31,0.0182232148157565
1985-01-31,0.08297523980155785
1985-02-28,0.016817447133654864
1985-03-31,0.015213762826613901
1985-04-30,-0.014880579604555622
1985-05-31,0.06331136254549612
1985-06-30,0.008442169343316345
1985-07-31,0.005773645787670321
1985-08-31,0.005849079755010182
1985-09-30,-0.044532871239309636
1985-10-31,0.043359803470311514
1985-11-30,0.06970515041889587
1985-12-31,0.04112421635475918
1986-01-31,0.015520862814230155
1986-02-28,0.0645451914602361
1986-03-31,0.06813960061636498
1986-04-30,-0.026247809967952958
1986-05-31,0.08027900971048102
1986-06-30,-0.007467763067495657
1986-07-31,-0.0725136000434475
1986-08-31,0.08398536025111068
1986-09-30,-0.06184176673194714
1986-10-31,0.04812264286929769
1986-11-30,0.023190231300741833
1986-12-31,-0.028585581027890196
1987-01-31,0.11838098089818325
1987-02-28,0.057431737371124385
1987-03-31,0.030283816834873425
1987-04-30,-0.017812882123997266
1987-05-31,0.019978319412134786
1987-06-30,0.0335343197694309
1987-07-31,0.07284973674568009
1987-08-31,0.01631938355802711
1987-09-30,-0.03249951452376568
1987-10-31,-0.2760637434005095
1987-11-30,-0.0495345410282853
1987-12-31,0.07174178033362928
1988-01-31,0.0570151641417898
1988-02-29,0.06938249188021936
