Date,Close,High,Low,Open,Volume
6/1/2005,1191.329956,1219.589966,1188.300049,1191.5,40334040000
7/1/2005,1234.180054,1245.150024,1183.550049,1191.329956,37464670000
8/1/2005,1220.329956,1245.859985,1201.069946,1234.180054,42030090000
9/1/2005,1228.810059,1243.130005,1205.349976,1220.329956,44777510000
10/1/2005,1207.01001,1233.339966,1168.199951,1228.810059,49793790000
11/1/2005,1249.47998,1270.640015,1201.069946,1207.01001,45102870000
12/1/2005,1248.290039,1275.800049,1246.589966,1249.47998,41756130000
1/1/2006,1280.079956,1294.900024,1245.73999,1248.290039,49211650000
2/1/2006,1280.660034,1297.569946,1253.609985,1280.079956,42859940000
3/1/2006,1294.869995,1310.880005,1268.420044,1280.660034,50905040000
4/1/2006,1310.609985,1318.160034,1280.73999,1302.880005,43308430000
5/1/2006,1270.089966,1326.699951,1245.339966,1310.609985,54312830000
6/1/2006,1270.199951,1290.680054,1219.290039,1270.050049,54873260000
7/1/2006,1276.660034,1280.420044,1224.540039,1270.060059,46348220000
8/1/2006,1303.819946,1306.73999,1261.300049,1278.530029,50485620000
9/1/2006,1335.849976,1340.280029,1290.930054,1303.800049,49001440000
10/1/2006,1377.939941,1389.449951,1327.099976,1335.819946,56793620000
11/1/2006,1400.630005,1407.890015,1360.97998,1377.76001,55343930000
12/1/2006,1418.300049,1431.810059,1385.930054,1400.630005,47578780000
1/1/2007,1438.23999,1441.609985,1403.969971,1418.030029,56686200000
2/1/2007,1406.819946,1461.569946,1389.420044,1437.900024,51844990000
3/1/2007,1420.859985,1438.890015,1363.97998,1406.800049,67622250000
4/1/2007,1482.369995,1498.02002,1416.369995,1420.829956,57032470000
5/1/2007,1530.619995,1535.560059,1476.699951,1482.369995,64958050000
6/1/2007,1503.349976,1540.560059,1484.180054,1530.619995,65322800000
7/1/2007,1455.27002,1555.900024,1454.25,1504.660034,70337430000
8/1/2007,1473.98999,1503.890015,1370.599976,1455.180054,91381760000
9/1/2007,1526.75,1538.73999,1439.290039,1473.959961,57809700000
10/1/2007,1549.380005,1576.089966,1489.560059,1527.290039,76022580000
11/1/2007,1481.140015,1545.790039,1406.099976,1545.790039,86246950000
12/1/2007,1468.359985,1523.569946,1435.650024,1479.630005,64821670000
1/1/2008,1378.550049,1471.77002,1270.050049,1467.969971,98475340000
2/1/2008,1330.630005,1396.02002,1316.75,1378.599976,78536130000
3/1/2008,1322.699951,1359.680054,1256.97998,1330.449951,93189170000
4/1/2008,1385.589966,1404.569946,1324.349976,1326.410034,85978630000
5/1/2008,1400.380005,1440.23999,1373.069946,1385.969971,80990480000
6/1/2008,1280,1404.050049,1272,1399.619995,96614040000
7/1/2008,1267.380005,1292.170044,1200.439941,1276.689941,1.24981E+11
8/1/2008,1282.829956,1313.150024,1247.449951,1269.420044,86266010000
9/1/2008,1166.359985,1303.040039,1106.420044,1287.829956,1.40007E+11
10/1/2008,968.75,1167.030029,839.7999878,1164.170044,1.59823E+11
11/1/2008,896.2399902,1007.51001,741.0200195,968.6699829,1.1566E+11
12/1/2008,903.25,918.8499756,815.6900024,888.6099854,1.12884E+11
1/1/2009,825.8800049,943.8499756,804.2999878,902.9899902,1.12091E+11
2/1/2009,735.0900269,875.0100098,734.5200195,823.0900269,1.24492E+11
3/1/2009,797.8699951,832.9799805,666.789978,729.5700073,1.61844E+11
4/1/2009,872.8099976,888.7000122,783.3200073,793.5900269,1.38855E+11
5/1/2009,919.1400146,930.1699829,866.0999756,872.7399902,1.31615E+11
6/1/2009,919.3200073,956.2299805,888.8599854,923.2600098,1.12653E+11
7/1/2009,987.4799805,996.6799927,869.3200073,920.8200073,1.06636E+11
8/1/2009,1020.619995,1039.469971,978.5100098,990.2199707,1.16059E+11
9/1/2009,1057.079956,1080.150024,991.9699707,1019.52002,1.12295E+11
10/1/2009,1036.189941,1101.359985,1019.950012,1054.910034,1.13411E+11
11/1/2009,1095.630005,1113.689941,1029.380005,1036.180054,84981530000
12/1/2009,1115.099976,1130.380005,1085.890015,1098.890015,89515330000
