date,Q1_Q1,Q1_Q2,Q1_Q3,Q2_Q1,Q2_Q2,Q2_Q3,Q3_Q1,Q3_Q2,Q3_Q3,Market
2015-01-01,-0.060525342112308,-0.033438603016534264,-0.027833596292553112,-0.030299989805584748,-0.02101318128767592,-0.016577814167712108,-0.03660900266857569,-0.018008482097313525,0.016275467128700496,-0.0247318858921276
2015-02-01,0.10450377178099261,0.06682714647252032,0.05508314204578234,0.06654080818068787,0.06571156537055886,0.05526412811330293,0.07311939417672782,0.03898118996564899,-0.010143411431697284,0.0599168146171175
2015-03-01,-0.01622617689591088,-0.018415463052794328,-0.013386571147219205,-0.023350256873038308,-0.015995466181941614,0.007865186972094663,-0.014377055431605362,-0.0199237507416697,-0.0003375425385513816,-0.0129904593217411
2015-04-01,0.04548425994874312,0.01959498702198031,0.01929021198163835,0.017610590822661833,0.0027411162208874802,0.00424878538822903,0.01893870536396637,0.004204288122958161,-0.021068659241931614,0.0127073366286133
2015-05-01,0.010948549062645134,0.018384855767090716,0.033974121670701136,0.009411819891091619,0.017005190610939344,0.009904809847563959,0.014474300133855214,0.0026598091092845354,0.024137072936587727,0.014805315398322
2015-06-01,-0.020527567447795048,-0.01109757807515292,-0.007583404953190502,-0.020157956537596475,-0.01785741187270301,-0.024365658339901532,-0.02088168688295026,-0.009446433774658387,-0.022868834718444413,-0.0172394153890047
2015-07-01,0.0014387932109364017,0.005793289867712569,0.05141814186577692,0.006286962707373217,0.016009973216766452,0.0475778360250966,0.03340506049071552,0.03874785857324065,0.05126143275135351,0.0262435567929886
2015-08-01,-0.07014526213995274,-0.062781465000086,-0.05968573171079615,-0.06064277957062286,-0.05561080023005933,-0.05744561975459833,-0.05487441043613495,-0.062456212961651124,-0.041309431535221194,-0.0579508983441557
2015-09-01,-0.04948734456394851,-0.0476659850401326,-0.033152794018956815,-0.023277535627755704,-0.016930936699389998,-0.008039815590709596,-0.013826865475223847,-0.021049342591826663,0.0009953898377747985,-0.0218310103492835
2015-10-01,0.09799327410339402,0.09766621392498528,0.0899681129902576,0.09645946916407641,0.0862553064309991,0.05635199309384367,0.10763516090204145,0.08750586555429098,0.034722653649486485,0.0875170945851126
2015-11-01,0.01962039070327871,-0.005945815003879367,0.01020906868636136,0.012019482509979562,0.008828676903776892,-0.00758676763309975,0.01692598499550424,-0.016362094282914075,-0.0052562590805446145,0.0058387625844559
