date,1/Beta,Preference (Cap - 1/Beta)
1960-01-29,0.0,-0.06709270175423362
1960-02-29,0.0,0.017111403433228006
1960-03-31,0.0,-0.010622770289783924
1960-04-29,0.0,-0.013724423415244788
1960-05-31,0.0,0.03791262967646741
1960-06-30,0.0,0.024465172276097055
1960-07-29,0.0,-0.020779817208123687
1960-08-31,0.0,0.03325532459347018
1960-09-30,0.0,-0.056724063536715476
1960-10-31,0.0,0.001030800476961746
1960-11-30,0.0,0.04857110718482832
1960-12-30,0.0,0.05140888338706916
1961-01-31,0.0,0.06736004810834359
1961-02-28,0.0,0.035567038718171635
1961-03-30,0.0,0.0318783567803577
1961-04-28,0.0,0.007485142500752736
1961-05-31,0.0,0.026528699868390456
1961-06-30,0.0,-0.02447695522006431
1961-07-31,0.0,0.03553731026042881
1961-08-31,0.0,0.027346514194898034
1961-09-29,0.0,-0.015551266786519228
1961-10-31,0.0,0.0317695487984174
1961-11-30,0.0,0.04780551698435134
1961-12-29,0.0,0.0071934989272536606
1962-01-31,0.0,-0.0346263528580673
1962-02-28,0.0,0.02228324234020097
1962-03-30,0.0,-0.002405193097503342
1962-04-30,0.0,-0.05941849000641968
1962-05-31,0.0,-0.07748752790935899
1962-06-29,0.0,-0.0785361386917102
1962-07-31,0.0,0.06833457381301479
1962-08-31,0.0,0.02343501930084136
1962-09-28,0.0,-0.0469477466590737
1962-10-31,0.0,0.010180846232999733
1962-11-30,0.0,0.11088434392410507
1962-12-31,0.0,0.017363289187424025
1963-01-31,0.040486083047914574,0.011629838947755572
1963-02-28,-0.005998195269951046,-0.01695696928394288
1963-03-29,-0.00320497210583939,0.04115368568395979
1963-04-30,0.01746505424141122,0.033104847918900046
1963-05-31,0.028526575875878757,-0.006678490932323922
1963-06-28,-0.006394768279787762,-0.010777527931829636
1963-07-31,-0.003472763705002169,0.0028888872725271377
1963-08-30,0.03449565967546076,0.020486714681648192
1963-09-30,-0.00793826319837377,-0.0008978242259116975
1963-10-31,0.07101497096157186,-0.03229994421145443
1963-11-29,-0.008740685991339541,0.00594180472549834
1963-12-31,-0.0255071847343319,0.053346889336727155
1964-01-31,0.004538252427356684,0.025217703285756166
1964-02-28,0.02398315347468822,-0.005608487177539177
1964-03-31,0.023867077786968595,-0.0046573604099498615
1964-04-30,-0.0036687272560267073,0.01304240283618154
1964-05-28,-0.00091345723042541,0.019556547107514373
1964-06-30,-0.004190618723380595,0.02357567006163372
1964-07-31,0.03077907115673319,-0.00992219000105466
1964-08-31,0.0022418866575098016,-0.012652292173275887
1964-09-30,0.04682558033955864,-0.014599195553895675
1964-10-30,0.03053844762185591,-0.019907659251069687
1964-11-30,0.015173419191567498,-0.011830429846219178
1964-12-31,0.023128868605684638,-0.01653636625222246
1965-01-29,0.04019930149071687,-0.003123945759048445
1965-02-26,0.014081944191338213,-0.008467469249441039
1965-03-31,0.011079155800138265,-0.021997027533622957
1965-04-30,0.023722192225556517,0.013787667971189705
1965-05-28,-0.02274738612435118,0.021175924127593
1965-06-30,-0.056970485587154326,0.011456847600304972
1965-07-30,0.013051542020862464,0.0033203034655566732
1965-08-31,0.025314206542847932,0.00410229455730949
1965-09-30,0.019577748691776555,0.015949690126702314
1965-10-29,0.02691553101628543,0.004094861578172442
1965-11-30,0.014898625650286495,-0.014956574737875733
1965-12-31,0.025648179463044263,-0.01293380560185922
1966-01-31,0.007134657572902968,0.0018667983140375514
1966-02-28,-0.00661776333156008,-0.0033261975293337916
1966-03-31,-0.02567766586643559,0.0049843495656576205
1966-04-29,0.010113533584755467,0.015361369198051832
1966-05-31,-0.04638814500497221,-0.0006594964325169622
1966-06-30,-0.0018025565281350393,-0.010419365767282234
1966-07-29,-0.02833886005738965,0.01852434052528961
1966-08-31,-0.05075016323856453,-0.018199581185063346
1966-09-30,-0.0021097333471023034,-0.0002771929621981791
1966-10-31,0.0033642574130342837,0.04951937855322326
1966-11-30,0.004103024766755641,0.014093079592467028
1966-12-30,0.004760143693004052,-0.0017253060348686711
1967-01-31,0.055441505033767574,0.027973668721721356
1967-02-28,0.0023099591677281464,0.007728802457606968
1967-03-31,0.021472463910131613,0.022534259627929716
1967-04-28,0.0016338386723976383,0.04582382233736063
1967-05-31,-0.018810947176638424,-0.025803916779545435
1967-06-30,0.025838246344616178,-0.003596246121769772
1967-07-31,0.018972207784677533,0.032179582015130756
1967-08-31,-0.0003827028203548736,-0.004606795278489603
1967-09-29,0.019411531178664808,0.017378945698960722
1967-10-31,-0.013845321948918871,-0.008435558432668206
1967-11-30,0.007073071989343995,0.0020275300174762293
