date,Spread Return
1967-01-01,-0.022393712101825752
1967-02-01,0.0027356612021941663
1967-03-01,0.0004296700299069936
1967-04-01,0.014721521631577035
1967-05-01,-0.01668015530212981
1967-06-01,-0.0050722138409545064
1967-07-01,-0.006949026116957177
1967-08-01,-0.013167712795879328
1967-09-01,0.009901426651065741
1967-10-01,0.02243246380764058
1967-11-01,0.013859352551040656
1967-12-01,-0.007561006746665291
1968-01-01,-0.028974079414538383
1968-02-01,-0.0025593312016698663
1968-03-01,0.012261388245827492
1968-04-01,-0.004131749178267974
1968-05-01,-0.01749237484688328
1968-06-01,-0.01606630480382485
1968-07-01,0.0022400249347840143
1968-08-01,-0.0009771658776629374
1968-09-01,-0.007620178246044246
1968-10-01,-0.002202511057867706
1968-11-01,-0.011072168332657437
1968-12-01,-0.017949743130454367
1969-01-01,-0.0011286788409378802
1969-02-01,0.016012241025320194
1969-03-01,0.020378706681207115
1969-04-01,0.013859838533190621
1969-05-01,0.016170401791315486
1969-06-01,0.022066994460740147
1969-07-01,0.009063431303494983
1969-08-01,0.011318662716829651
1969-09-01,-0.0019625346575198738
1969-10-01,-0.012948979165099003
1969-11-01,0.010912419478287055
1969-12-01,0.020674103637475856
1970-01-01,-0.02229931300848044
1970-02-01,-0.002313292507062137
1970-03-01,-0.008207952218814006
1970-04-01,0.008139917680623762
1970-05-01,0.021586397622771245
1970-06-01,0.004287361767867516
1970-07-01,0.006835127896837878
1970-08-01,-0.001549290748010336
1970-09-01,-0.007739608843660775
1970-10-01,0.011909245572778681
1970-11-01,0.006673407025229151
1970-12-01,-0.016664418831629238
1971-01-01,-0.018899182817333167
1971-02-01,-0.005450191403330841
1971-03-01,0.00719296559609673
1971-04-01,0.008171779774801824
1971-05-01,0.00333487080610409
1971-06-01,0.008533447765280701
1971-07-01,-0.005559137539187277
1971-08-01,0.008162116735251392
1971-09-01,0.008629551092039915
1971-10-01,0.026502548004333347
1971-11-01,0.014413792726232224
1971-12-01,0.009776154130946
1972-01-01,-0.017828132264690537
1972-02-01,0.010487717231761007
1972-03-01,0.01103485575302358
1972-04-01,0.006261772039295224
1972-05-01,0.020947460303798328
1972-06-01,0.001528215330516617
1972-07-01,0.019511892467528352
1972-08-01,0.008125464728272934
1972-09-01,0.01771693258270172
1972-10-01,0.007444071201292563
1972-11-01,-0.01454684186699779
1972-12-01,0.019330679714326986
1973-01-01,0.01835950070303074
1973-02-01,0.008394388253685235
1973-03-01,0.01349887853337141
1973-04-01,-0.0035540514864042874
1973-05-01,0.02887271557089175
1973-06-01,0.016257964707210547
1973-07-01,-0.010273330365946777
1973-08-01,-0.009690535611521847
1973-09-01,-0.033030856042465036
1973-10-01,0.007734333937892558
1973-11-01,0.03125444840887469
1973-12-01,-0.002911697884501921
1974-01-01,-0.05339783937673858
1974-02-01,-0.00930835875551175
1974-03-01,0.010182209601425705
1974-04-01,0.023690950331229407
1974-05-01,0.0434852017547115
1974-06-01,0.013565390378580277
1974-07-01,-0.026977366034746604
1974-08-01,0.014842367888262306
1974-09-01,-0.03797329442177978
1974-10-01,0.05520209841033524
1974-11-01,-0.005430771791355045
1974-12-01,0.01770741140051047
1975-01-01,-0.08184600485173263
1975-02-01,0.026098328107993965
1975-03-01,-0.02154325552620537
1975-04-01,0.016774628422624088
1975-05-01,-0.0010139843579821464
1975-06-01,-0.01813453351044099
1975-07-01,-0.00929067859606085
1975-08-01,0.008799225682526734
1975-09-01,0.0009547739027533364
1975-10-01,0.02408147368411484
1975-11-01,0.000539935014297166
1975-12-01,-0.00676496283725826
1976-01-01,-0.02700087597938214
1976-02-01,-0.03263116593594715
1976-03-01,0.01704767966384791
1976-04-01,-0.006578777486190392
1976-05-01,0.005193257838479506
1976-06-01,-0.0020361348001692245
1976-07-01,0.0018919226410452107
1976-08-01,0.014377584378997483
1976-09-01,0.002684451010321231
1976-10-01,0.002863750319872748
1976-11-01,-0.024380316456530823
1976-12-01,-0.010453622194758781
1977-01-01,-0.023522355554810626
1977-02-01,0.004218872086415871
1977-03-01,-0.011512804856653593
1977-04-01,-0.005903573827353287
1977-05-01,0.009992027907101948
